StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific_id,training_clear,training_unclear,training_grammatical,training_pragmatics,exp1_bare,"exp2_def ",filler1_clear,filler2_clear,filler3_uncertain,"exp3_def ",exp4_bare,filler5_clear,filler7_uncertain,filler8_uncertain,exp5_def,exp6_bare,filler7_clear,filler8_clear,filler9_uncertain,exp7_def,exp8_bare,filler10_clear,filler11_uncertain,filler12_uncertain,exp9_def,exp10_bare,filler13_clear,filler14_clear,filler15_uncertain,exp11_def,exp12_bare,filler15_clear,filler16_uncertain,filler17_uncertain,exp13_def,exp14_bare,filler18_clear,filler19_clear,filler20_uncertain,exp15_def,exp16_bare,filler30_clear,filler31_uncertain,filler32_uncertain,exp3_bare,exp4_def,exp5_bare,exp6_def,exp7_bare,exp8_def,"exp9_bare ",exp10_def,exp11_bare,"exp12_def ",exp13_bare,exp14_def,exp15_bare,exp16_def,language_household,"us_origin ",ReactionTime_exp1_bare,ReactionTime_exp1_def,ReactionTime_exp2_bare,ReactionTime_exp2_def,ReactionTime_exp3_bare,ReactionTime_exp3_def,ReactionTime_exp4_bare,ReactionTime_exp4_def,ReactionTime_exp5_bare,ReactionTime_exp5_def,ReactionTime_exp6_bare,ReactionTime_exp6_def,ReactionTime_exp7_bare,ReactionTime_exp7_def,ReactionTime_exp8_bare,ReactionTime_exp8_def,ReactionTime_exp9_bare,ReactionTime_exp9_def,ReactionTime_exp10_bare,ReactionTime_exp10_def,ReactionTime_exp11_bare,ReactionTime_exp12_def,ReactionTime_exp11_def,ReactionTime_exp12_bare,ReactionTime_exp13_bare,ReactionTime_exp13_def,ReactionTime_exp14_bare,ReactionTime_exp14_def,ReactionTime_exp15_bare,ReactionTime_exp15_def,ReactionTime_exp16_bare,ReactionTime_exp16_def,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Prolific ID.,"Okay, let's practice! Here's a context:



Anna was organizing her bookshelf. She arranged all the fiction books on the top shelf and the non-fiction books on the bottom shelf. Later, she found space for the new biography she bought last week and placed it on the bottom shelf.



Choose which best matches the context:","Here's another context:



Emma organized a company retreat and planned several outdoor activities, including a hiking trip and a team-building exercise. The weather forecast predicted light rain in the morning, but the sky was clear when they started. By the afternoon, the team decided to cancel one of the outdoor activities due to weather concerns.



Here, it is not explicitly mentioned which activity was cancelled. But can you make your best guess?



Choose which best matches the context:","Sometimes both options could be possible, but one just sounds better. Consider this example: 



Jake and his friends were planning a picnic in the park. They gathered their food and drinks, and then Jake checked the weather to make sure it wouldn't rain. It looked clear, so they headed out. When they arrived at the park, Jake realized he had forgotten the picnic blanket.



Choose which best matches the context:","One more example and then off to the main survey! Look at this context: 

 
Samantha was preparing for her big presentation at work. She had all her slides ready and had practiced her speech multiple times. As she walked into the conference room, she was surprised to see that the projector wasn’t working. Two of her colleagues, Tim and John, saw the situation. It was Tim who offered to help and checked the equipment. Samantha was relieved that the projector had been fixed by Tim. 



Technically, both answer options may be true. But do you think, based on the form of the sentence above, that one of them makes more sense?","Alex went grocery shopping and bought apples and candies. He brought the groceries home. He realized that he was hungry, so he ate apples. 

Choose which best matches the context:","In the morning, Sarah picked roses and tulips in the garden for her flower shop. She brought the flowers to the shop. Before opening, she arranged the roses in a vase. 

Choose which best matches the context:","Yesterday, Alex baked two cakes: a chocolate cake and a vanilla cake. Alex brought the chocolate cake to a party and left the vanilla cake at home.

Choose which best matches the context:","During the road trip, Mia and Liam stopped at a diner and a gas station. They went to the gas station first to fill up the tank before grabbing lunch at the diner.

Choose which best matches the context:","Lena visited the art museum and the science museum on Saturday. She mentioned being inspired by creative exhibits.


Choose which best matches the context:","Ethan ordered plates and cups online. When the delivery arrived, he put the stuff in the kitchen. Later, he washed the plates.


Choose which best matches the context:","Emma picked tomatoes and cucumbers from her garden. She placed them on the kitchen counter. Later, she was making a salad and put tomatoes in it. 

Choose which best matches the context:","Olivia picked up chairs and tables for the event. After setting up, she decorated the tables with flowers. 

Choose which best matches the context:","James bought coffee beans and tea leaves at the market. That afternoon, he brewed a hot energizing drink. 

Choose which best matches the context:","Ben ordered salad and pizza for dinner. When he opened the box, he picked up the dish that smelled strongly of garlic. 

Choose which best matches the context:","Alex gathered notebooks and folders from the classroom. He left them on his desk. Later, he organized the folders for the final review.


Choose which best matches the context:","Yesterday, Clara washed scarves and gloves. She put them in her drawer. The next day, she wore gloves because it was cold. 

Choose which best matches the context:","Daniel delivered books and magazines to the library. The librarian thanked him for the books.


Choose which best matches the context:","Henry cleaned windows in the house. In the afternoon, the windows sparkled in the sunlight. 

Choose which best matches the context:","Kevin bought tickets for a movie and a concert. That evening, he dressed casually and left the house.


Choose which best matches the context:","Ashley borrowed books and DVDs from the library. Next day, she went to the library again to return the books.


Choose which best matches the context:","Chloe picked leaves and flowers for her art project. Later that evening, she made a watercolor sketch of leaves. 

Choose which best matches the context:","Noah bought two gifts for his nieces: a toy car and a puzzle. He gave the toy car to the younger niece and saved the puzzle for the older one.


Choose which best matches the context:","Rachel borrowed two DVDs from the library: a comedy and a thriller. She watched the comedy first because it was shorter.

Choose which best matches the context:","Ethan placed his laptop and tablet on the desk. When he returned, one device was open and playing music.


Choose which best matches the context:","Lily purchased blueberries and peaches at the farmer’s market. She brought the fruit to her kitchen. After dinner, she ate the blueberries.


Choose which best matches the context:","Jack borrowed some tools from his neighbor: a hammer and nails. He left them on his workbench. The next day, he used nails for his project.


Choose which best matches the context:","Liam read two articles about space exploration: one on the moon landing and one on Mars colonization. He found the article about Mars colonization more interesting and spent extra time on it.



Choose which best matches the context:","Maria arranged two bouquets of flowers: one with daisies and one with lilies. The lily bouquet was displayed in the living room, while the daisies were placed on the dining table.



Choose which best matches the context:","Michael practiced two pieces on the piano: a classical sonata and a jazz improvisation. He spent the morning rehearsing the sonata and switched to jazz in the afternoon. 



Choose which best matches the context:","Alex ran a workshop on coding and robotics. Participants built robots and wrote basic programs. At the end of the workshop, Alex demonstrated the robots to the class.


Choose which best matches the context:","Emma taught a pottery class. During the class, her students made bowls and vases. Emma also demonstrated different techniques for painting them. Towards the end, the students painted bowls.

Choose which best matches the context:","While cleaning out her closet, Anna sorted through her clothes and shoes. She decided to donate all the clothes first before organizing the shoes into boxes.


Choose which best matches the context:","Sarah started cooking dinner with the intention of making two dishes: a lasagna and a salad. Midway through, she realized she didn’t have enough ingredients for the salad and decided to only finish the lasagna.

Choose which best matches the context:","John painted two walls in his house: one green and one blue. While the green wall is in the kitchen, the blue wall is part of the living room decor. 

Choose which best matches the context:","Last weekend, Oliver bought blankets and pillows. His roommate Daniel was packing for a camping trip. He borrowed the blankets from Oliver. 

Choose which best matches the context:","Max baked cupcakes and cookies for the party. He also packed up cupcakes in a nice box for his friend Dana, who had her birthday. 

Choose which best matches the context:","Ella ordered two dishes for takeout: sushi and pasta. Since the pasta was still hot, she decided to eat it first and save the sushi for later. 

Choose which best matches the context:","Lucas parked his two bicycles—one red and one blue—in the garage. The blue bike was placed closer to the entrance for easy access. 

Choose which best matches the context:","David cleaned two rooms: the bedroom and the living room. He vacuumed the living room first.

Choose which best matches the context:","Jacob harvested carrots and potatoes from his farm. He stored the vegetables in the pantry. When he got hungry that evening, he cooked the potatoes for dinner. 

Choose which best matches the context:","Olivia bought candles and small paintings for her room. She added them to her room decor and really liked the result. Later that night, she wanted to have a cozy night and lit candles. 

Choose which best matches the context:","Mia sorted jackets and scarves in her closet. Later, she donated the jackets to a local charity.

Choose which best matches the context:","Michael and Sarah baked cookies and brownies for the party. At the party, guests complimented the cookies.

Choose which best matches the context:","Liam prepared sandwiches and salads for the picnic. When he arrived at the park, he ate the sandwiches.

Choose which best matches the context:","Ethan ordered plates and cups online. When the delivery arrived, he put the stuff in the kitchen. Later, he washed plates.


Choose which best matches the context:","Emma picked tomatoes and cucumbers from her garden. She placed them on the kitchen counter. Later, she was making a salad and put the tomatoes in it. 

Choose which best matches the context:","Alex gathered notebooks and folders from the classroom. He left them on his desk. Later, he organized folders for the final review.


Choose which best matches the context:","Yesterday, Clara washed scarves and gloves. She put them in her drawer. The next day, she wore the gloves because it was cold. 

Choose which best matches the context:","Ashley borrowed books and DVDs from the library. Next day, she went to the library again to return books.


Choose which best matches the context:","Chloe picked leaves and flowers for her art project. Later that evening, she made a watercolor sketch of the leaves. 

Choose which best matches the context:","Lily purchased blueberries and peaches at the farmer’s market. She brought the fruit to her kitchen. After dinner, she ate blueberries.


Choose which best matches the context:","Jack borrowed some tools from his neighbor: a hammer and nails. He left them on his workbench. The next day, he used the nails for his project.


Choose which best matches the context:","Alex ran a workshop on coding and robotics. Participants built robots and wrote basic programs. At the end of the workshop, Alex demonstrated robots to the class.


Choose which best matches the context:","Emma taught a pottery class. During the class, her students made bowls and vases. Emma also demonstrated different techniques for painting them. Towards the end, the students painted the bowls. 

Choose which best matches the context:","Last weekend, Oliver bought blankets and pillows. His roommate Daniel was packing for a camping trip. He borrowed blankets from Oliver. 

Choose which best matches the context:","Max baked cupcakes and cookies for the party. He also packed up the cupcakes in a nice box for his friend Dana, who had her birthday. 

Choose which best matches the context:","Jacob harvested carrots and potatoes from his farm. He stored the vegetables in the pantry. When he got hungry that evening, he cooked potatoes for dinner. 

Choose which best matches the context:","Olivia bought candles and small paintings for her room. She added them to her room decor and really liked the result. Later that night, she wanted to have a cozy night and lit the candles. 

Choose which best matches the context:",Which language did your parents talk to you when you were a kid?,Did you grow up in the US?,ReactionTime_exp1_bare,ReactionTime_exp1_def,ReactionTime_exp2_bare,ReactionTime_exp2_def,ReactionTime_exp3_bare,ReactionTime_exp3_def,ReactionTime_exp4_bare,ReactionTime_exp4_def,ReactionTime_exp5_bare,ReactionTime_exp5_def,ReactionTime_exp6_bare,ReactionTime_exp6_def,ReactionTime_exp7_bare,ReactionTime_exp7_def,ReactionTime_exp8_bare,ReactionTime_exp8_def,ReactionTime_exp9_bare,ReactionTime_exp9_def,ReactionTime_exp10_bare,ReactionTime_exp10_def,ReactionTime_exp11_bare,ReactionTime_exp12_def,ReactionTime_exp11_def,ReactionTime_exp12_bare,ReactionTime_exp13_bare,ReactionTime_exp13_def,ReactionTime_exp14_bare,ReactionTime_exp14_def,ReactionTime_exp15_bare,ReactionTime_exp15_def,ReactionTime_exp16_bare,ReactionTime_exp16_def,Create New Field or Choose From Dropdown...
