StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,f1_good _1,exp1_prom_pl_1,f2_bad _1,exp2_uniq_sg_1,f3_good _1,exp3_max_sg_1,f4_bad _1,exp4_nmax_pl_1,f5_good_1,exp5_nprom_sg_1,f6_bad _1,exp6_nprom_sg_1,f7_good_1,exp7_nmax_sg_1,f8_bad_1,exp8_max_pl_1,f9_good_1,exp9_1,f10_bad_1,exp10_prom_sg_1,Q33,Q34,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Куда села девушка? 


​​​​​

Девушка села у стола. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Куда девушка поставила стул?





Девушка поставила стул за стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Куда девушка поставила стул?



​​​​​​

Девушка поставила стул за стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Куда села девушка? 





Девушка села за стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Куда девушка поставила стул? 





Девушка поставила стул у стола. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол? 





Девушка поставила пакеты на стол. - How much do you agree with this answer?","Что девушка сделала с бутылкой? 





Девушка передвинула бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка поставила бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?




Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка положила бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка поставила бутылку на столе. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?




Девушка поставила пакеты на стол. - Насколько Вы согласны с этим ответом?","Что девушка сделала с бутылкой?





Девушка положила бутылку на стол. - Насколько Вы согласны с этим ответом?","Что девушка поставила на стол?





Девушка поставила пакет на стол. - Насколько Вы согласны с этим ответом?",Русский --  Ваш единственный родной язык?,"Если Вы ответили ""Нет"" на предыдущий вопрос, носителем какого языка, кроме русского, Вы являетесь? (Под носителями языка мы подразумеваем тех, кто усвоил язык в раннем детстве).","Если у вас есть вопросы, отзывы или комментарии к этому опросу, Вы можете оставить их в этом окне:"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}"
2022-11-21 14:32:38,2022-11-21 14:39:49,0,151.0.51.160,100,431,1,2022-11-21 14:39:50,R_3fHwN1gysvEavlE,,,,,47.2189,38.9168,anonymous,EN,10,2,0,10,10,0,0,5,10,2,0,10,10,0,1,10,10,1,1,10,1,,"Было довольно интересно участвовать в данном опросе. "
2022-11-21 14:32:51,2022-11-21 14:41:02,0,178.75.41.131,100,491,1,2022-11-21 14:41:02,R_1g7RKsl2tKyVoer,,,,,53.2859,34.3691,anonymous,EN,9,1,1,10,10,0,0,10,10,0,0,10,10,0,5,10,10,0,0,10,1,,
2022-11-21 15:30:18,2022-11-21 15:34:52,0,37.208.73.242,100,274,1,2022-11-21 15:34:53,R_2DRCMf7Dz6JYilQ,,,,,54.2021,37.6179,anonymous,EN,9,10,5,10,0,10,10,10,10,10,0,10,10,0,0,10,6,5,5,10,1,Нет,
2022-11-21 15:29:42,2022-11-21 15:36:16,0,185.253.42.86,100,393,1,2022-11-21 15:36:16,R_3KPHNIIXxX0tmTp,,,,,48.0243,37.8115,anonymous,EN,1,9,6,9,1,9,9,9,1,9,1,9,9,9,9,9,1,9,9,9,1,,
2022-11-21 15:30:03,2022-11-21 15:36:21,0,62.112.8.52,100,377,1,2022-11-21 15:36:21,R_p5DNhvrVu30CGTn,,,,,51.9934,4.2158,anonymous,EN,2,9,5,9,1,9,5,9,9,9,1,9,9,9,1,9,5,10,1,5,2,Украинский,
2022-11-21 15:29:51,2022-11-21 15:36:37,0,81.222.188.29,100,405,1,2022-11-21 15:36:37,R_8GtuFegi8sS4X7z,,,,,55.7524,49.1388,anonymous,EN,10,3,0,10,10,1,0,5,9,0,0,4,10,0,0,10,4,3,4,10,1,,
2022-11-21 15:29:59,2022-11-21 15:36:41,0,95.152.26.7,100,401,1,2022-11-21 15:36:41,R_85EPgKoSxvtV2Fz,,,,,53.195,44.9945,anonymous,EN,10,5,0,10,10,5,0,10,10,5,10,10,10,0,2,10,9,2,0,10,1,,
2022-11-21 15:29:44,2022-11-21 15:36:46,0,46.242.11.151,100,421,1,2022-11-21 15:36:46,R_3hGwCkRZ1B36BKO,,,,,55.7483,37.6171,anonymous,EN,10,0,0,10,7,0,0,7,10,0,0,7,10,0,10,10,7,0,0,10,1,,
2022-11-21 15:29:47,2022-11-21 15:37:13,0,176.59.144.238,100,446,1,2022-11-21 15:37:14,R_27qTILPtXT8kQ4H,,,,,54.9022,83.0335,anonymous,EN,2,5,10,10,9,5,1,5,9,1,1,5,10,1,1,10,5,5,10,10,1,,
2022-11-21 15:29:53,2022-11-21 15:37:23,0,176.59.49.66,100,449,1,2022-11-21 15:37:23,R_31ZPrBOWHKkT9OF,,,,,55.7386,37.6068,anonymous,EN,8,1,0,5,7,8,0,7,10,1,5,10,10,0,0,10,10,5,5,10,1,,
2022-11-21 15:29:56,2022-11-21 15:37:29,0,178.68.110.215,100,452,1,2022-11-21 15:37:29,R_2sjePAqnif2ydJT,,,,,68.9702,33.078,anonymous,EN,2,2,0,10,10,0,2,5,10,0,0,5,10,0,0,10,10,0,0,10,1,Нет,
2022-11-21 15:29:54,2022-11-21 15:37:49,0,188.170.78.217,100,475,1,2022-11-21 15:37:50,R_1IuuTwQWaT1iDNC,,,,,59.8983,30.2618,anonymous,EN,10,5,0,10,0,0,0,5,10,0,0,5,10,0,0,10,10,0,0,10,1,,
2022-11-21 15:29:46,2022-11-21 15:37:52,0,80.83.234.80,100,485,1,2022-11-21 15:37:52,R_1Cyxa2FZIUCgyzb,,,,,48.4817,135.083,anonymous,EN,4,0,0,10,3,5,4,10,10,1,0,10,10,0,0,10,10,1,2,10,1,Нет,
2022-11-21 15:29:36,2022-11-21 15:38:03,0,178.176.219.46,100,507,1,2022-11-21 15:38:04,R_2anbbwEiATQrbC1,,,,,47.2363,39.7233,anonymous,EN,4,1,0,10,10,0,0,5,10,5,10,5,10,0,0,10,10,5,0,10,1,,
2022-11-21 15:29:57,2022-11-21 15:38:16,0,178.173.107.101,100,499,1,2022-11-21 15:38:17,R_0I1asRgr2Ysn2ZH,,,,,55.9239,37.9923,anonymous,EN,9,7,0,10,10,0,1,10,10,0,1,10,5,0,0,10,10,0,1,10,1,,
2022-11-21 15:29:37,2022-11-21 15:38:19,0,95.107.70.231,100,522,1,2022-11-21 15:38:20,R_3G88DUhHCFTVGGx,,,,,52.964,36.0744,anonymous,EN,8,0,0,10,10,0,3,8,9,0,0,9,10,0,1,10,10,2,3,10,1,,
2022-11-21 15:29:48,2022-11-21 15:38:40,0,109.169.208.137,100,532,1,2022-11-21 15:38:40,R_3CObsMwkD40IYnj,,,,,53.1785,50.1267,anonymous,EN,10,1,3,10,9,2,2,1,10,1,0,10,10,0,0,10,10,1,0,10,1,,"Интересный тест. Был рад посодействовать!
"
2022-11-21 15:30:03,2022-11-21 15:38:42,0,85.140.24.43,100,519,1,2022-11-21 15:38:43,R_3D7VdRpHlrFORGS,,,,,55.1553,61.4313,anonymous,EN,0,5,0,10,9,0,0,10,10,0,0,10,10,0,0,10,0,0,0,10,1,,"Очень полезный опрос, великий русский язык, (на столе стоит или лежит?) побольше делайте таких. "
2022-11-21 15:31:30,2022-11-21 15:39:13,0,89.109.51.183,100,463,1,2022-11-21 15:39:14,R_1CIMt92lFeIyetZ,,,,,56.3327,44.0012,anonymous,EN,7,7,0,10,0,1,0,8,10,6,1,7,10,0,0,10,10,6,6,10,1,,
2022-11-21 15:30:05,2022-11-21 15:39:17,0,79.139.170.174,100,552,1,2022-11-21 15:39:18,R_21uIm7NT0ghCZvj,,,,,55.7483,37.6171,anonymous,EN,5,8,3,10,8,6,4,7,9,5,4,10,10,0,3,10,10,4,7,10,1,,"Интересный опрос. "
2022-11-21 15:29:46,2022-11-21 15:39:32,0,178.71.57.142,100,585,1,2022-11-21 15:39:32,R_31Rjpsd61JfhfKd,,,,,59.8983,30.2618,anonymous,EN,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,1,,
2022-11-21 15:29:45,2022-11-21 15:39:57,0,5.139.101.231,100,612,1,2022-11-21 15:39:57,R_a2UAf8oN7sQHKlb,,,,,47.2361,39.7189,anonymous,EN,9,5,10,10,1,10,1,5,5,5,0,10,10,1,1,10,10,10,1,10,1,,
2022-11-21 15:29:55,2022-11-21 15:41:44,0,178.47.94.17,100,708,1,2022-11-21 15:41:44,R_3lWhmawS6I3VFj1,,,,,58.0041,56.2397,anonymous,EN,1,2,0,10,9,6,0,4,8,4,0,8,10,0,1,10,10,7,2,10,1,,"Интересное задание. Выполняя его, задумываешься о многогранности русского языка"
2022-11-21 15:37:35,2022-11-21 15:47:03,0,51.195.31.187,100,568,1,2022-11-21 15:47:03,R_28M2GMZWc4OCgb2,,,,,48.8582,2.3387,anonymous,EN,0,10,2,10,0,10,10,8,3,1,0,10,10,0,0,10,0,0,0,10,1,,"В следующий раз попробуйте вместо пакетов использовать чучело птицы и сковороду, откроете для себя много нового )"
2022-11-21 15:35:55,2022-11-21 15:47:51,0,192.162.43.254,100,715,1,2022-11-21 15:47:52,R_3HGlFYsj0bBjCvg,,,,,55.078,61.6921,anonymous,EN,5,8,0,10,9,5,0,5,10,4,6,8,10,0,0,10,10,6,0,10,1,,
2022-11-21 15:30:07,2022-11-21 15:50:16,0,176.59.160.206,100,1209,1,2022-11-21 15:50:17,R_248e26PVit8L3iF,,,,,55.7483,37.6171,anonymous,EN,10,6,0,10,10,6,7,4,10,2,0,1,10,0,1,10,6,10,8,10,1,,
2022-11-21 14:04:29,2022-11-21 14:30:14,8,65.112.8.56,8,1545,0,2022-11-28 14:30:25,R_3r8DHbuLV7wtrBD,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21 15:30:09,2022-11-21 15:36:07,0,135.125.169.81,65,358,0,2022-11-28 15:36:09,R_1Ok1zLIYabDzjJ5,,,,,,,anonymous,EN,0,0,7,0,4,10,10,4,10,4,0,3,10,0,0,,,,,,,,
2022-11-21 15:29:41,2022-11-21 15:39:32,0,212.84.160.69,8,591,0,2022-11-28 15:39:33,R_2DOIKmxF4zgOOHe,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,
